Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-02-19,57.899434336845786,63.88903099238156,57.699780353377996,60.83433532714844,116700,0.0,0
2021-02-22,61.43329478405068,67.25318779267054,60.77443933100719,62.78095245361328,161800,0.0,0
2021-02-23,62.880777743813184,65.21672036319032,56.33215133706022,59.177207946777344,108000,0.0,0
2021-02-24,61.01402161686351,67.43287661068767,59.89596467584429,66.33477783203125,126100,0.0,0
2021-02-25,66.78400348385829,66.78400348385829,60.115585644129794,60.68459701538086,72700,0.0,0
2021-02-26,60.68459586136891,64.73755370527108,58.78788878787889,64.13859558105469,79600,0.0,0
2021-03-01,65.31654643392572,69.56916184034365,64.61776326167728,69.20978546142578,97500,0.0,0
2021-03-02,68.60084745271803,69.80874851699842,65.44632292821777,67.8421630859375,84200,0.0,0
2021-03-03,69.10996038198533,72.87341995166399,64.8373753899801,69.20978546142578,141500,0.0,0
2021-03-04,70.11820872636407,70.60736459896789,61.20369595744999,64.98712158203125,117500,0.0,0
2021-03-05,65.80570508119237,65.87558340948921,58.67808513024941,65.08695220947266,136800,0.0,0
2021-03-08,65.8256736804981,68.62081438652328,65.77575732553643,67.46282958984375,71200,0.0,0
2021-03-09,67.54268298576822,69.1299223116038,66.06524591593816,67.45283508300781,43400,0.0,0
2021-03-10,66.33477923699111,67.38296168748502,63.97887063388355,65.97540283203125,77600,0.0,0
2021-03-11,65.92546015608909,70.67009554611064,64.22738317007676,69.52139282226562,104700,0.04,0
2021-03-12,69.0918820295789,71.55909379004349,67.93319602164581,70.77997589111328,70700,0.0,0
2021-03-15,71.03968862028144,73.27715690777994,69.61130318041337,70.25057983398438,88300,0.0,0
2021-03-16,69.11186449933231,69.76112434199909,64.20740582303296,64.9166030883789,99000,0.0,0
2021-03-17,64.54702042621497,68.5425027959293,64.54702042621497,67.56360626220703,64800,0.0,0
2021-03-18,67.32388304711165,68.60243625433584,65.78562133817682,65.80559539794922,56600,0.0,0
2021-03-19,64.80671967239086,66.65463631878734,62.37946769905575,65.89549255371094,158100,0.0,0
2021-03-22,65.9454360847607,66.43488818372602,62.04984288768876,62.299560546875,79000,0.0,0
2021-03-23,61.25074636433936,62.17969634957375,58.673662135590654,58.80351257324219,114400,0.0,0
2021-03-24,60.261867969406694,64.49707737935441,57.95447540283203,57.95447540283203,87700,0.0,0
2021-03-25,57.1453892622578,64.66688407563623,55.62710540929948,64.24736022949219,120100,0.0,0
2021-03-26,64.89662648864538,66.39493244376284,59.9622031044762,62.299560546875,56600,0.0,0
2021-03-29,61.67027625280566,63.03872799071433,59.28297217360126,60.43167495727539,40400,0.0,0
2021-03-30,60.80125625453636,63.29843291469101,59.9721955847674,62.43940353393555,43000,0.0,0
2021-03-31,63.75791529396827,65.01648682354994,62.69911103529601,63.518184661865234,112300,0.0,0
2021-04-01,63.33838627182098,64.35723476806342,62.15971862775946,62.84893798828125,33100,0.0,0
2021-04-05,63.44825845167278,69.62127500917481,62.18967941179434,67.45372772216797,214600,0.0,0
2021-04-06,67.65350959734687,69.72117144998664,64.427154182064,66.73454284667969,131300,0.0,0
2021-04-07,66.29504385221165,67.27393276352073,63.94769186730373,64.7767562866211,74300,0.0,0
2021-04-08,65.15633291140813,68.7722396238837,63.95768361304961,68.52252197265625,70600,0.0,0
2021-04-09,68.56247719484693,72.82765891331667,67.42376532349022,70.08076477050781,113800,0.0,0
2021-04-12,69.72117514593504,70.24058453621325,67.67348724375366,69.28166961669922,76600,0.0,0
2021-04-13,69.65125623983184,69.70119520163023,66.44487463370056,68.66236877441406,64200,0.0,0
2021-04-14,68.48256212398758,71.19949122561026,68.48256212398758,69.05191802978516,84600,0.0,0
2021-04-15,69.65125808607438,69.9109589841784,67.56361433563387,68.54251098632812,34500,0.0,0
2021-04-16,69.23171805509108,69.2616829534237,64.56699423545899,66.56473541259766,67700,0.0,0
2021-04-19,66.05530968897982,67.0841528030513,62.84893599424594,63.99763870239258,84700,0.0,0
2021-04-20,63.368352387346555,63.40830812766534,59.53268895569246,62.009891510009766,78700,0.0,0
2021-04-21,61.83009627463757,65.07642596670648,61.680264149309465,64.41716766357422,44900,0.0,0
2021-04-22,63.58810283275453,66.7645078646274,63.58810283275453,64.69684600830078,56700,0.0,0
2021-04-23,65.15633973298026,67.26394991888142,64.56700205157799,65.27619934082031,39100,0.0,0
2021-04-26,66.50480816488147,68.81219687426368,65.81558499370368,68.42263793945312,67100,0.0,0
2021-04-27,68.91208393110443,69.71118349850457,67.42376879811943,68.32275390625,25400,0.0,0
2021-04-28,68.45260454535351,69.8709990418569,67.9232043192486,69.32162475585938,54600,0.0,0
2021-04-29,69.92094804329835,71.9086985752827,68.14295944095048,70.9298095703125,86400,0.0,0
2021-04-30,70.1406966772726,73.14729939964678,69.95090881941242,72.72776794433594,66500,0.0,0
2021-05-03,73.13730501638963,74.27601686682922,71.26941429011107,73.21721649169922,65700,0.0,0
2021-05-04,71.71891250328099,72.94751908006893,69.2117451503549,72.3282241821289,88400,0.0,0
