Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-02-18,CAPACITE,EQ,192.2,190.05,195.0,189.05,194.0,191.6,191.94,20760,398466985000.0,751,13146,0.6332
2019-02-19,CAPACITE,EQ,191.6,193.9,199.0,191.5,192.0,192.05,194.85,123984,2415876305000.0,1539,103072,0.8312999999999999
2019-02-20,CAPACITE,EQ,192.05,193.15,196.9,190.95,194.9,194.5,194.19,18893,366890885000.0,1114,7854,0.4157
2019-02-21,CAPACITE,EQ,194.5,194.95,199.5,192.95,197.35,196.7,196.46,14190,278770580000.0,1569,7337,0.5171
2019-02-22,CAPACITE,EQ,196.7,197.65,202.0,195.6,202.0,201.5,200.15,16702,334284300000.0,665,9970,0.5969
2019-02-25,CAPACITE,EQ,201.5,204.7,210.0,203.0,206.0,205.85,206.37,25783,532073890000.0001,1512,13408,0.52
2019-02-26,CAPACITE,EQ,205.85,198.5,205.5,197.0,202.85,202.4,202.16,42034,849765000000.0,1209,30882,0.7347
2019-02-27,CAPACITE,EQ,202.4,203.4,207.5,200.0,201.5,201.35,204.39,19154,391486600000.0,902,10560,0.5513
2019-02-28,CAPACITE,EQ,201.35,200.45,211.0,200.45,211.0,209.5,207.63,45764,950195440000.0,1332,31906,0.6972
2019-03-01,CAPACITE,EQ,209.5,210.5,223.45,210.5,219.15,219.3,219.43,64398,1413066170000.0,3965,25585,0.3973
2019-03-05,CAPACITE,EQ,219.3,221.0,243.8,221.0,240.1,241.2,235.19,97871,2301781555000.0,2495,48085,0.4913
2019-03-06,CAPACITE,EQ,241.2,243.35,243.35,235.35,238.0,239.15,238.64,45113,1076567310000.0,2388,21187,0.4696
2019-03-07,CAPACITE,EQ,239.15,238.95,243.7,228.7,232.3,230.2,234.26,41203,965239995000.0,2359,25741,0.6247
2019-03-08,CAPACITE,EQ,230.2,231.4,239.0,231.1,238.0,236.95,234.64,52731,1237279555000.0,3403,29752,0.5642
2019-03-11,CAPACITE,EQ,236.95,235.4,244.5,235.4,238.2,237.95,240.88,92061,2217545235000.0,2688,35480,0.3854
2019-03-12,CAPACITE,EQ,237.95,242.45,248.0,235.1,236.4,237.3,240.15,79362,1905878295000.0,1596,57450,0.7239
2019-03-13,CAPACITE,EQ,237.3,238.1,243.0,236.9,240.0,239.75,238.8,77688,1855221950000.0,4228,58369,0.7513
2019-03-14,CAPACITE,EQ,239.75,242.0,251.95,239.3,240.0,242.35,246.78,382428,9437653005000.0,18578,151769,0.3969
2019-03-15,CAPACITE,EQ,242.35,242.6,244.9,238.1,240.5,240.05,240.99,102309,2465584870000.0,3433,78577,0.768
2019-03-18,CAPACITE,EQ,240.05,242.0,242.95,238.0,238.0,239.0,239.9,40139,962927025000.0,2154,29163,0.7266
2019-03-19,CAPACITE,EQ,239.0,238.55,240.8,234.55,240.0,238.0,238.16,57093,1359743210000.0,2770,40699,0.7129000000000001
2019-03-20,CAPACITE,EQ,238.0,239.2,244.0,234.95,237.95,237.1,239.32,30741,735687560000.0,1378,17005,0.5532
2019-03-22,CAPACITE,EQ,237.1,237.5,239.95,233.0,233.05,233.55,235.0,45685,1073607400000.0,1641,31817,0.6964
2019-03-25,CAPACITE,EQ,233.55,229.5,230.7,223.1,224.5,224.45,226.27,73173,1655654350000.0,2672,52140,0.7126
2019-03-26,CAPACITE,EQ,224.45,225.5,230.9,224.0,225.0,224.75,225.62,72647,1639033805000.0,3435,48643,0.6696
2019-03-27,CAPACITE,EQ,224.75,225.1,227.0,221.25,224.05,224.25,224.87,62883,1414024460000.0,1424,41653,0.6624
2019-03-28,CAPACITE,EQ,224.25,225.4,227.0,223.05,225.0,224.75,224.67,36960,830394135000.0,983,28349,0.767
2019-03-29,CAPACITE,EQ,224.75,225.9,231.7,223.6,227.0,226.8,226.84,60590,1374445040000.0,5324,41895,0.6915000000000001
2019-04-01,CAPACITE,EQ,226.8,229.2,240.7,228.85,235.0,233.1,234.67,76996,1806884100000.0,2585,40538,0.5265
2019-04-02,CAPACITE,EQ,233.1,235.0,238.7,231.1,232.55,231.85,234.83,39784,934246645000.0,1458,26003,0.6536
2019-04-03,CAPACITE,EQ,231.85,234.0,237.9,228.5,230.2,230.35,234.46,47303,1109059720000.0,2326,25140,0.5315
2019-04-04,CAPACITE,EQ,230.35,231.35,234.75,228.5,230.1,231.5,231.73,26121,605308555000.0,1261,16555,0.6338
2019-04-05,CAPACITE,EQ,231.5,234.0,238.4,232.45,235.05,236.0,236.45,34008,804106340000.0,2215,14299,0.4205
2019-04-08,CAPACITE,EQ,236.0,236.05,244.95,235.0,236.5,238.3,239.96,53451,1282616065000.0,2284,20551,0.3845000000000001
2019-04-09,CAPACITE,EQ,238.3,236.55,243.0,236.0,241.0,240.95,240.31,60498,1453856415000.0,1930,31291,0.5172
2019-04-10,CAPACITE,EQ,240.95,241.2,241.2,235.0,236.55,235.85,237.16,29403,697308810000.0,899,19088,0.6492
2019-04-11,CAPACITE,EQ,235.85,236.55,239.55,230.6,232.7,233.05,233.87,48061,1124010705000.0,1914,24985,0.5199
2019-04-12,CAPACITE,EQ,233.05,233.1,236.35,231.2,233.0,232.55,233.47,62466,1458408810000.0,1394,44041,0.705
2019-04-15,CAPACITE,EQ,232.55,233.0,234.35,230.5,230.5,231.0,231.38,55589,1286208490000.0,2602,42951,0.7726999999999999
2019-04-16,CAPACITE,EQ,231.0,231.05,235.8,230.0,231.5,231.15,231.73,49752,1152906335000.0,1249,31168,0.6265
2019-04-18,CAPACITE,EQ,231.15,231.5,232.05,228.0,230.0,230.0,229.86,41533,954672520000.0,1021,30586,0.7364
2019-04-22,CAPACITE,EQ,230.0,230.0,230.65,226.25,227.5,228.3,228.43,14270,325966525000.0,693,8280,0.5802
2019-04-23,CAPACITE,EQ,228.3,225.5,235.0,225.5,230.7,230.6,232.16,73916,1716050825000.0,2526,23445,0.3172
2019-04-24,CAPACITE,EQ,230.6,231.25,231.95,226.9,227.45,227.1,227.83,28974,660107715000.0,1321,17648,0.6091
2019-04-25,CAPACITE,EQ,227.1,226.6,231.9,226.6,231.35,229.85,230.12,25040,576214675000.0,476,18149,0.7248
2019-04-26,CAPACITE,EQ,229.85,229.05,233.0,224.2,227.1,226.55,227.23,45477,1033375545000.0,1892,27723,0.6096
2019-04-30,CAPACITE,EQ,226.55,227.7,228.45,224.15,227.15,227.05,226.85,55370,1256053460000.0,1570,48947,0.8840000000000001
2019-05-02,CAPACITE,EQ,227.05,232.0,234.0,228.0,232.0,230.65,230.88,66079,1525602635000.0,2951,25225,0.3817
2019-05-03,CAPACITE,EQ,230.65,234.0,234.0,228.05,228.8,229.1,230.3,18010,414777745000.0,845,12452,0.6914
2019-05-06,CAPACITE,EQ,229.1,229.0,229.1,221.0,223.0,221.95,223.13,37177,829539800000.0,895,29104,0.7828
2019-05-07,CAPACITE,EQ,221.95,220.7,226.0,220.55,222.0,221.85,222.94,27446,611878635000.0,745,19698,0.7177
2019-05-08,CAPACITE,EQ,221.85,220.4,226.5,220.0,225.0,225.0,224.03,71567,1603294275000.0,1825,52468,0.7331000000000001
2019-05-09,CAPACITE,EQ,225.0,223.0,226.0,223.0,225.0,224.4,224.71,57566,1293568230000.0,1500,41730,0.7249
2019-05-10,CAPACITE,EQ,224.4,225.35,226.0,224.15,225.0,225.0,225.09,47900,1078157290000.0,568,42558,0.8885
2019-05-13,CAPACITE,EQ,225.0,225.4,226.9,223.0,225.0,224.95,224.94,67666,1522102985000.0,1328,62355,0.9215
2019-05-14,CAPACITE,EQ,224.95,223.05,231.85,221.15,225.0,225.05,224.81,109246,2455980180000.0,2892,86065,0.7878000000000001
2019-05-15,CAPACITE,EQ,225.05,225.0,228.0,223.15,225.95,225.45,225.4,72685,1638333040000.0,1766,53927,0.7419
2019-05-16,CAPACITE,EQ,225.45,229.0,229.0,220.15,225.0,225.0,224.65,269608,6056620650000.0,3690,194011,0.7195999999999999
2019-05-17,CAPACITE,EQ,225.0,224.95,233.0,224.05,231.5,230.5,228.71,184809,4226708455000.0,2067,124562,0.674
2019-05-20,CAPACITE,EQ,230.5,235.5,240.55,232.0,236.0,235.85,235.14,129932,3055189360000.0,2742,90789,0.6987000000000001
2019-05-21,CAPACITE,EQ,235.85,236.85,238.9,228.05,230.55,232.2,233.74,31554,737555140000.0,1148,16195,0.5132
2019-05-22,CAPACITE,EQ,232.2,230.65,247.0,230.65,244.1,238.55,235.82,188401,4442923440000.0,1881,139507,0.7404999999999999
2019-05-23,CAPACITE,EQ,238.55,244.3,249.75,240.2,245.95,245.0,244.2,179535,4384202035000.0,3416,123301,0.6868000000000001
2019-05-24,CAPACITE,EQ,245.0,245.95,269.4,242.5,263.0,266.15,258.46,263388,6807577695000.0,7339,144853,0.55
2019-05-27,CAPACITE,EQ,266.15,260.1,278.0,260.1,273.5,274.15,273.48,159878,4372405760000.0,4097,75866,0.4745
2019-05-28,CAPACITE,EQ,274.15,275.0,275.0,269.45,270.3,270.25,270.49,56072,1516689880000.0,1663,39598,0.7062
2019-05-29,CAPACITE,EQ,270.25,270.25,279.5,267.25,270.0,269.9,273.73,63854,1747865260000.0002,2101,28515,0.4466
2019-05-30,CAPACITE,EQ,269.9,267.6,272.0,267.1,270.0,269.8,269.7,34174,921670495000.0,1774,22761,0.6659999999999999
2019-05-31,CAPACITE,EQ,269.8,267.05,271.65,260.2,268.65,270.25,268.37,58241,1562985925000.0,2713,37168,0.6382
2019-06-03,CAPACITE,EQ,270.25,268.8,276.4,268.0,270.0,271.3,272.36,38914,1059843915000.0,1846,20435,0.5251
2019-06-04,CAPACITE,EQ,271.3,270.95,276.0,268.0,269.6,269.4,271.37,27015,733112910000.0,1190,15353,0.5683
2019-06-06,CAPACITE,EQ,269.4,270.1,274.9,257.95,270.7,268.55,268.46,42555,1142425965000.0,1973,21636,0.5084000000000001
2019-06-07,CAPACITE,EQ,268.55,267.15,272.0,263.0,270.0,270.9,267.88,100587,2694480595000.0,2715,58297,0.5796
2019-06-10,CAPACITE,EQ,270.9,273.0,274.8,264.5,271.0,271.0,270.23,81539,2203423620000.0,2440,62618,0.768
2019-06-11,CAPACITE,EQ,271.0,270.0,271.0,266.4,270.0,270.0,269.61,24032,647930540000.0,676,15467,0.6436000000000001
2019-06-12,CAPACITE,EQ,270.0,270.15,270.5,265.3,269.65,269.05,268.75,87378,2348243205000.0,1091,77571,0.8878
2019-06-13,CAPACITE,EQ,269.05,271.0,271.9,263.2,270.0,270.15,267.96,62388,1671737370000.0,1457,43244,0.6931
2019-06-14,CAPACITE,EQ,270.15,268.0,270.0,265.3,268.75,269.2,268.27,34288,919857450000.0,2021,25229,0.7358
2019-06-17,CAPACITE,EQ,269.2,267.05,270.0,266.0,268.1,268.95,268.91,80526,2165452795000.0,1351,66606,0.7777
2019-06-18,CAPACITE,EQ,268.95,268.0,271.5,268.0,269.0,268.95,269.23,30646,825071555000.0,990,21354,0.6806
2019-06-19,CAPACITE,EQ,268.95,268.45,270.9,262.9,269.0,268.8,267.77,59485,1592815485000.0,2054,43263,0.7273000000000001
2019-06-20,CAPACITE,EQ,268.8,267.95,272.0,263.2,270.0,269.35,267.37,78559,2100460365000.0,1110,70010,0.8912000000000001
2019-06-21,CAPACITE,EQ,269.35,269.35,273.8,268.95,270.5,270.1,270.78,32770,887360350000.0,1197,19862,0.6061
2019-06-24,CAPACITE,EQ,270.1,269.4,272.05,267.0,270.9,270.3,270.0,18482,499008610000.0,629,14719,0.7964
2019-06-25,CAPACITE,EQ,270.3,269.9,272.85,267.55,271.0,271.15,270.53,26284,711049675000.0,1135,15126,0.5755
2019-06-26,CAPACITE,EQ,271.15,271.0,273.2,269.1,269.5,271.05,271.14,18275,495510500000.0,545,11962,0.6546
2019-06-27,CAPACITE,EQ,271.05,270.1,272.45,268.15,271.0,271.2,270.95,18009,487947635000.0,886,10988,0.6101
2019-06-28,CAPACITE,EQ,271.2,270.55,272.8,270.2,271.0,271.4,271.75,14872,404143670000.0,638,9760,0.6563
2019-07-01,CAPACITE,EQ,271.4,270.8,273.45,263.6,271.3,271.25,270.18,24443,660407785000.0,1342,14313,0.5856
2019-07-02,CAPACITE,EQ,271.25,270.8,272.05,267.6,270.45,270.05,269.48,15630,421191755000.0,901,11180,0.7153
2019-07-03,CAPACITE,EQ,270.05,269.0,273.0,269.0,271.0,271.05,271.64,18059,490559045000.0,1167,14650,0.8112
2019-07-04,CAPACITE,EQ,271.05,269.85,272.8,269.85,271.0,271.0,271.08,18519,502021240000.0001,653,15196,0.8206
2019-07-05,CAPACITE,EQ,271.0,273.8,284.4,270.7,272.35,273.7,279.32,101333,2830446175000.0,4372,45538,0.4494
2019-07-08,CAPACITE,EQ,273.7,272.9,272.9,268.1,271.0,271.0,270.9,41876,1134411580000.0,2093,33580,0.8019
2019-07-09,CAPACITE,EQ,271.0,270.05,273.0,268.0,272.0,271.45,270.89,46401,1256960445000.0,916,38888,0.8381000000000001
2019-07-10,CAPACITE,EQ,271.45,268.7,272.25,268.7,271.0,271.2,270.87,61886,1676315230000.0,984,50082,0.8093000000000001
2019-07-11,CAPACITE,EQ,271.2,271.2,272.6,270.0,271.2,271.75,271.43,11224,304654085000.0,982,7433,0.6622
2019-07-12,CAPACITE,EQ,271.75,271.75,272.9,269.55,271.0,271.55,271.19,30496,827020170000.0,950,23195,0.7606
2019-07-15,CAPACITE,EQ,271.55,271.55,274.0,269.35,273.5,271.7,271.13,30471,826147170000.0,2163,18615,0.6109
2019-07-16,CAPACITE,EQ,271.7,274.0,274.05,268.05,269.25,270.0,269.69,134024,3614441180000.0,2777,114821,0.8567
2019-07-17,CAPACITE,EQ,270.0,269.4,270.2,266.1,269.0,268.95,268.93,62347,1676675075000.0,1499,50477,0.8096
2019-07-18,CAPACITE,EQ,268.95,270.0,270.0,267.15,269.0,269.2,268.87,37381,1005075480000.0,1833,27909,0.7465999999999999
2019-07-19,CAPACITE,EQ,269.2,268.15,270.95,268.0,269.0,269.0,269.01,49021,1318718420000.0,1967,37046,0.7556999999999999
2019-07-22,CAPACITE,EQ,269.0,267.1,270.95,232.8,251.05,256.7,259.37,248698,6450463555000.0,5804,159250,0.6403
2019-07-23,CAPACITE,EQ,256.7,256.7,256.7,244.55,250.0,250.05,247.82,40306,998880405000.0,1446,26427,0.6557
2019-07-24,CAPACITE,EQ,250.05,246.5,249.0,245.3,247.5,247.75,247.49,11867,293701975000.0,465,7349,0.6193
